matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
679,1.16.4,4,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Ashish Nehra,115,FALSE,MEDIUM_SEAM,38.061,,4,4,4,,0.009,9.297,-0.495,0.971,23,12
679,1.16.5,5,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Ashish Nehra,115,FALSE,MEDIUM_SEAM,36.509,,2,2,2,,0.108,3.003,0.04,0.343,74,56
679,1.16.6,6,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.039,,2,2,2,,0.28,8.206,0.1,0.736,81,26
679,1.17.1,1,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,38.106,,2,2,2,,-0.114,6.593,0.107,0.667,86,28
679,1.17.2,2,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,37.071,,1,1,1,,-0.374,7.688,-0.166,0.763,14,32
679,1.17.3,3,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Umesh Yadav,59,TRUE,FAST_SEAM,39.862,,1,1,1,,-0.049,-1.731,-0.114,0.312,28,42
679,1.17.4,4,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,33.393,,1,1,1,,-0.075,2.284,0.014,0.39,58,50
679,1.17.5,5,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Umesh Yadav,59,TRUE,FAST_SEAM,34.755,,1,1,1,,-0.281,8.556,-0.02,0.779,33,43
679,1.17.6,6,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,38.775,b Umesh Yadav,0,0,0,,-0.057,4.312,0.131,0.394,5,5
679,1.18.1,1,MS Dhoni,1,TRUE,Dwayne Bravo,25,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,34.667,,1,1,1,,-0.435,8.698,-0.127,0.696,89,38
679,1.18.2,2,Dwayne Bravo,25,TRUE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,31.708,,0,0,0,,-0.396,8.784,-0.258,0.684,34,40
679,1.18.3,3,Dwayne Bravo,25,TRUE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,33.267,,1,1,1,,-0.628,11.473,-0.371,1.259,74,38
679,1.18.4,4,MS Dhoni,1,TRUE,Dwayne Bravo,25,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,32.299,,6,6,6,,-0.328,6.524,-0.123,0.646,70,93
679,1.18.5,5,MS Dhoni,1,TRUE,Dwayne Bravo,25,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,38.24,,1,1,1,,-0.581,9.956,-0.023,1.022,88,48
679,1.18.6,6,Dwayne Bravo,25,TRUE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,31.625,,2,2,2,,-0.519,6.012,-0.49,0.709,13,49
679,1.19.1,1,MS Dhoni,1,TRUE,Dwayne Bravo,25,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.744,,6,6,6,,-0.339,-0.557,-0.316,0.127,92,80
679,1.19.2,2,MS Dhoni,1,TRUE,Dwayne Bravo,25,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.9,,4,4,4,,-1.299,-4.048,-0.959,0.61,12,19
679,1.19.3,3,MS Dhoni,1,TRUE,Dwayne Bravo,25,Ashish Nehra,115,FALSE,MEDIUM_SEAM,32.021,,1,1,1,,-0.551,5.151,-0.948,0.595,30,73
679,1.19.4,4,Dwayne Bravo,25,TRUE,MS Dhoni,1,Ashish Nehra,115,FALSE,MEDIUM_SEAM,39.107,,4,4,4,,-0.065,9.609,-0.677,0.918,10,24
679,1.19.5,5,Dwayne Bravo,25,TRUE,MS Dhoni,1,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.443,,1,1,1,,-0.225,-2.147,-0.183,0.392,30,73
679,1.19.6,6,MS Dhoni,1,TRUE,Dwayne Bravo,25,Ashish Nehra,115,FALSE,MEDIUM_SEAM,38.422,,2,2,2,,0.144,4.216,0.046,0.418,84,64
679,1.20.1,1,Dwayne Bravo,25,TRUE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,35.746,,1,1,1,,-0.586,10.666,-0.486,1.041,86,36
679,1.20.2,2,MS Dhoni,1,TRUE,Dwayne Bravo,25,Umesh Yadav,59,TRUE,FAST_SEAM,39.759,,0,0,0,,-0.26,1.42,-0.232,0.176,48,39
679,1.20.3,3,MS Dhoni,1,TRUE,Dwayne Bravo,25,Umesh Yadav,59,TRUE,FAST_SEAM,38.686,,3,3,3,,-0.28,8.536,0.11,0.829,92,35
679,1.20.4,4,Dwayne Bravo,25,TRUE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,38.82,,1,1,1,,-0.264,9.207,0.074,0.894,36,36
679,1.20.5,5,MS Dhoni,1,TRUE,Dwayne Bravo,25,Umesh Yadav,59,TRUE,FAST_SEAM,34.537,,1,1,1,,-0.392,10.052,-0.163,1.021,29,37
679,1.20.6,6,Dwayne Bravo,25,TRUE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,39.668,,2,2,2,,0.012,4.286,0.228,0.404,52,91
679,2.1.1,1,Virender Sehwag,45,TRUE,Unmukt Chand,60,Mohit Sharma,1107,FALSE,SEAM,35.607,,0,0,0,,-0.306,7.894,-0.081,0.918,34,41
679,2.1.2,2,Virender Sehwag,45,TRUE,Unmukt Chand,60,Mohit Sharma,1107,FALSE,SEAM,37.355,c MS Dhoni b Mohit Sharma,0,0,0,,-0.449,7.265,-0.563,0.617,0,0
679,2.1.3,3,Johan Botha,224,FALSE,Unmukt Chand,60,Mohit Sharma,1107,FALSE,SEAM,35.116,,0,0,0,,-0.314,7.461,-0.201,0.798,38,39
679,2.1.4,4,Johan Botha,224,FALSE,Unmukt Chand,60,Mohit Sharma,1107,FALSE,SEAM,38.063,,1,1,1,,-0.434,7.087,-0.338,0.665,40,56
679,2.1.5,5,Unmukt Chand,60,FALSE,Johan Botha,224,Mohit Sharma,1107,FALSE,SEAM,37.704,,0,0,0,,-0.322,6.76,-0.266,0.599,36,26
679,2.1.6,6,Unmukt Chand,60,FALSE,Johan Botha,224,Mohit Sharma,1107,FALSE,SEAM,37.995,,1,0,1,Wd,-0.363,13.206,-0.217,2.05,5,5
679,2.1.7,6,Unmukt Chand,60,FALSE,Johan Botha,224,Mohit Sharma,1107,FALSE,SEAM,38.005,,4,4,4,,-0.474,7.911,-0.505,0.792,12,21
679,2.2.1,1,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,37.632,,0,0,0,,-0.528,9.667,-0.435,1.386,5,5
679,2.2.2,2,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,37.893,,0,0,0,,-0.704,9.901,-0.641,1.327,34,37
679,2.2.3,3,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,35.999,,0,0,0,,-0.62,8.383,-0.544,0.936,35,28
679,2.2.4,4,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,36.791,,2,2,2,,-0.794,4.556,-0.905,0.539,13,23
679,2.2.5,5,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,36.972,,0,0,0,,-0.54,7.755,-0.434,1.022,32,28
679,2.2.6,6,Johan Botha,224,FALSE,Unmukt Chand,60,Jason Holder,1075,TRUE,MEDIUM_SEAM,37.105,,4,4,4,,-0.616,9.563,-0.323,0.969,91,24
679,2.3.1,1,Unmukt Chand,60,FALSE,Johan Botha,224,Mohit Sharma,1107,FALSE,SEAM,37.6,,4,4,4,,-0.331,9.023,-0.213,0.774,84,74
